step,episode,episode_reward,episode_length,epsilon,avg_loss_last_train,elapsed_seconds
165,0,5.0,165,0.9703,nan,0.2
366,1,4.0,201,0.9341,nan,0.4
519,2,1.0,153,0.9066,0.01687099630944431,0.6
691,3,2.0,172,0.8756,0.008945318347054296,1.0
793,4,0.0,102,0.8573,0.009382200852717059,1.2
1279,5,16.0,486,0.7698,0.01011866113290764,2.3
1374,6,0.0,95,0.7527,0.012042378578674592,2.5
1505,7,2.0,131,0.7291,0.009323689719277547,2.7
1705,8,4.0,200,0.6931,0.007369378056464484,3.2
1995,9,7.0,290,0.6409,0.010483220555923052,3.8
2212,10,5.0,217,0.6018,0.011020200229144062,4.3
2377,11,3.0,165,0.5721,0.01328360764153597,4.7
2504,12,0.0,127,0.5493,0.00949674444655102,5.0
2597,13,0.0,93,0.5325,0.008188441181277007,5.2
2771,14,4.0,174,0.5012,0.00827199485485285,5.6
2972,15,4.0,201,0.465,0.007480139632403448,6.1
3128,16,2.0,156,0.437,0.009751415523425795,6.4
3297,17,4.0,169,0.4065,0.009108481140477428,6.8
3488,18,6.0,191,0.3722,0.008831547240940077,7.3
4556,19,25.0,1068,0.1799,0.010176773570199568,9.8
4748,20,6.0,192,0.1454,0.011340399420684358,10.3
4923,21,6.0,175,0.1139,0.013753489434832794,10.8
5095,22,6.0,172,0.1,0.009326625660029349,11.2
5228,23,2.0,133,0.1,0.010507243575642967,11.6
5382,24,4.0,154,0.1,0.014870929291646462,11.9
5542,25,4.0,160,0.1,0.013337837558356113,12.4
5736,26,7.0,194,0.1,0.012033382078456901,12.8
5942,27,6.0,206,0.1,0.01094443176920964,13.3
